NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Caramel Swirl Iced Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,250,71,0,69,15,568,0.44,0,0
Caramel Swirl Iced Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,190,53,0,52,11,426,0.33,0,0
French Vanilla Swirl Iced Cappuccino with Skim Milk -Large,Large,NA,310,0,0,0,10,190,65,0,61,11,400,0.31,0,0
French Vanilla Swirl Iced Cappuccino with Skim Milk -Medium,Medium,NA,230,0,0,0,5,140,48,0,46,8,299,0.23,0,0
French Vanilla Swirl Iced Cappuccino with Skim Milk -Small,Small,NA,150,0,0,0,5,95,32,0,30,5,200,0.15,0,0
French Vanilla Swirl Iced Cappuccino with Whole Milk -Large,Large,NA,370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0
French Vanilla Swirl Iced Cappuccino with Whole Milk -Medium,Medium,NA,280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0
French Vanilla Swirl Iced Cappuccino with Whole Milk -Small,Small,NA,190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0
Hazelnut Swirl Iced Cappuccino with Skim Milk - Large,Large,NA,310,0,0,0,10,190,65,0,61,11,400,0.31,0,0
Hazelnut Swirl Iced Cappuccino with Skim Milk - Medium,Medium,NA,230,0,0,0,5,140,49,0,46,8,299,0.23,0,0
Hazelnut Swirl Iced Cappuccino with Skim Milk - Small,Small,NA,150,0,0,0,5,95,32,0,30,5,200,0.15,0,0
Hazelnut Swirl Iced Cappuccino with Whole Milk - Large,Large,NA,370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0
Hazelnut Swirl Iced Cappuccino with Whole Milk - Medium,Medium,NA,280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0
